Female,Color,Age,YearsInSite,Year,ArrivalDate,EarliestEgg,CapDate,FUV,Fyel,Ftotal,FCCar,Fbib,FUVSat,FWt,Fwing,Ftars,Fplasma,Fblood,Fcrit,FTAC,Fnests,Fyears
F2011.IG,.IG,SY,3,2011,128,140,148,7.3,24.8,15.3,0.93,476,0.1,11.8,54,19.1,,,,,4,2
F2011.NP,.NP,SY,3,2011,141,148,152,5.5,30.4,18,0.92,515,0.06,12.1,51.5,20.1,13.7,8.9,0.39,1.69,3,2
F2011.PP,.PP,SY,4,2011,132,142,132,10.3,32.6,21.5,0.82,417,0.1,8.8,52,19.6,,,,,1,1
F2011.RL,.RL,SY,4,2011,140,146,156,-0.3,24.5,13.8,0.9,637,0,11.2,54.5,20.6,15.2,11.8,0.44,1.96,2,1
F2011B.IR,B.IR,FY,1,2011,138,148,156,0.6,23.1,13.5,0.87,472,0.01,11.2,51.5,19.5,10.8,7.9,0.42,2.66,4,2
F2011B.WB,B.WB,FY,1,2011,142,149,154,5.1,26.8,16.2,0.92,396,0.06,10.6,52,18.7,11,7.7,0.41,3.29,2,1
F2011BY.R,BY.R,SY,5,2011,134,144,148,3.8,27.4,15.8,0.96,519,0.05,10.9,53,19.2,24.3,19.5,0.45,1.74,4,2
F2011G.RG,G.RG,FY,1,2011,154,162,169,4.4,25.1,16.4,0.74,342,0.05,10.8,50,19,13.4,11.1,0.45,2.17,1,1
F2011I.BN,I.BN,SY,2,2011,129,140,131,-0.2,24.4,13.9,0.88,448,0,,51.5,19.7,17.6,15.5,0.47,1.79,5,2
F2011IB.N,IB.N,SY,2,2011,142,158,169,6.2,26.1,16.1,0.9,348,0.08,10.8,52,19.9,7.3,6.3,0.46,2.67,3,2
F2011L.PN,L.PN,FY,1,2011,146,153,172,-0.5,14.9,9.5,0.57,61,-0.01,10.6,49.5,19.8,9.6,6.9,0.42,2.17,3,2
F2011L.YY,L.YY,FY,1,2011,147,157,147,3.8,24.7,14.7,0.89,283,0.05,9.3,51,19.2,15.7,14.1,0.47,1.03,1,1
