NestID,Female,Color,FirstEggDate,IncStartDate,PredorHatch,MidFateDay,HatchDay,IncPeriod,SureOfTiming,OnBout,SDOn,nOn,OnSE,OnSE,OffBout,SDOff,nOff,OffSE,OffSE,CycleLength,PercentOn,Fate,ClutchSize,Clutch,AvgNestlingWt,AvgNestlingWing,Year,FirstBoutTime,FirstBoutResid_ControlDate,FirstBoutN,Unfaithful,Nsampled,BroodType,Note
2011-01,F2011.IG,.IG,140,142,Hatch,155,155,13,Yes,32.9,12.9,28,2.43,2.6,9.4,3.3,29,0.62,1.5,42.4,0.78,Fledged,2,Small,7,18,2011,18540,-746.1,3,No,1,First,
2011-11,F2011.NP,.NP,148,151,Hatch,163,163,12,Yes,41.5,14.4,81,1.6,1.5,11.1,3.5,91,0.37,0.8,52.5,0.79,Predation,4,Medium,,,2011,20070,626.7,6,NA,0,First,
2011-03,F2011.PP,.PP,142,145,Hatch,157,157,12,Yes,44.2,12.7,28,2.41,2.6,11.5,3.7,33,0.65,1.4,55.7,0.79,Fledged,3,Small,7.3,21.5,2011,18540,-750.9,3,No,2,First,
2011-51,F2011.RL,.RL,177,,Hatch,192,192,,No,41.8,7.5,28,1.42,2.6,10.9,2.3,36,0.39,1.3,52.7,0.79,Predation,4,Medium,7,19.5,2011,19165,-721,5,Yes,2,Second,
2011-09,F2011.RL,.RL,146,150,Hatch,163,163,13,Yes,49.1,13.4,16,3.34,3.4,15.8,6.7,19,1.53,1.8,64.9,0.76,Fledged,5,Large,8.2,25.3,2011,18940,-459.8,6,No,3,First,
2011-26,F2011B.IR,B.IR,158,161,Hatch,173,173,12,Yes,44.8,12.1,63,1.53,1.7,15.3,4.2,67,0.51,1,60,0.75,Predation,4,Medium,7.2,17.5,2011,19190,-398.5,6,No,3,Replacement,
2011-56,F2011B.IR,B.IR,183,185,Hatch,197,197,12,Yes,50,14.2,29,2.63,2.5,15.6,5.3,35,0.89,1.3,65.6,0.76,Fledged,3,Small,7.9,22.5,2011,19296,-627.7,5,No,1,Replacement,
2011-15,F2011B.WB,B.WB,149,153,Hatch,165,165,12,Yes,47.6,10.8,25,2.16,2.7,16.1,4.3,26,0.84,1.6,63.7,0.75,Predation,5,Large,,,2011,18000,-1407,2,NA,0,First,
2011-49,F2011B.WB,B.WB,173,176,Hatch,188,188,12,Yes,67.2,9.3,39,1.49,2.2,16.6,3.3,45,0.49,1.2,83.8,0.8,Fledged,4,Medium,7,20.4,2011,19810,18.3,6,Yes,4,Replacement,
2011-05,F2011BY.R,BY.R,144,148,Hatch,160,160,12,Yes,55.1,14.9,19,3.41,3.1,13.8,4.5,22,0.97,1.7,68.9,0.8,Predation,5,Large,7,18.3,2011,19060,-376.1,3,Yes,3,First,
2011-47,F2011BY.R,BY.R,170,172,Hatch,184,184,12,Yes (one egg laid after incubation started according to notes; could be one day later onset of incubation),40.6,14,121,1.27,1.2,13.4,4,142,0.33,0.7,54,0.75,Fledged,4,Medium,5.8,16.4,2011,20497.7,731.1,13,Yes,4,Replacement,
2011-29,F2011G.RG,G.RG,162,165,Hatch,177,177,12,Yes,41,13.9,22,2.97,2.9,14.4,5,25,1,1.6,55.4,0.74,Fledged,4,Medium,5.8,10.5,2011,19920,280.7,4,No,2,First,
