USFWS	NestID	Year	Site	Sex	Weight	Wing	True Sire	Fate at Hatch	Nest Fate	EPY	social sire	Clutch	Brood.d5
2450-89689	2011-01	2011	STAB		7	18	.BG	H	Fledged	No	.BG	2	1
ns2011-01	2011-01	2011	STAB					NH	Fledged		.BG	2	1
2450-89690	2011-03	2011	STAB		7.8	23.5	Y.WB	H	Fledged	No	Y.WB	3	2
2450-89691	2011-03	2011	STAB		6.8	19.5	Y.WB	H	Fledged	No	Y.WB	3	2
ns2011-02	2011-03	2011	STAB					NH	Fledged		Y.WB	3	2
2450-89692	2011-05	2011	STAB		7.1	18.5	.BG	H	Predation	Yes	IO.	5	3
2450-89693	2011-05	2011	STAB		6.8	19	.BG	H	Predation	Yes	IO.	5	3
2450-89694	2011-05	2011	STAB		7.1	17.5	.BG	H	Predation	Yes	IO.	5	3
ns2011-03	2011-05	2011	STAB					NH	Predation		IO.	5	3
ns2011-04	2011-05	2011	STAB					NH	Predation		IO.	5	3
2450-89695	2011-09	2011	STAB		7.9	26	GG.P	H	Fledged	No	GG.P	5	3
2450-89696	2011-09	2011	STAB		8.8	27.5	GG.P	H	Fledged	No	GG.P	5	3
2450-89697	2011-09	2011	STAB		7.8	22.5	GG.P	H	Fledged	No	GG.P	5	3
ns2011-05	2011-09	2011	STAB					NH	Fledged		GG.P	5	3
ns2011-06	2011-09	2011	STAB					NH	Fledged		GG.P	5	3
2450-89116	2011-10	2011	STAB		6.9	18	.IL	H	Fledged	No	.IL	5	5
2450-89117	2011-10	2011	STAB		6.5	18	.IL	H	Fledged	No	.IL	5	5
2450-89118	2011-10	2011	STAB		7.2	18	.IL	H	Fledged	No	.IL	5	5
2450-89698	2011-10	2011	STAB		6.2	15.5	.IL	H	Fledged	No	.IL	5	5
2450-89699	2011-10	2011	STAB		6.8	17.5	.IL	H	Fledged	No	.IL	5	5
2450-89127	2011-13	2011	STAB		5.9	14	G.BL	H	Predation	No	G.BL	4	2
2450-89128	2011-13	2011	STAB		6.3	13	.BG	H	Predation	Yes	G.BL	4	2
ns2011-07	2011-13	2011	STAB					NH	Predation		G.BL	4	2
