jdate	sunrise	year
121	318	2011
122	317	2011
122	317	2012
123	315	2011
123	316	2012
124	314	2011
124	314	2012
125	312	2011
125	313	2012
126	311	2011
126	311	2012
127	310	2011
127	310	2012
128	308	2011
128	309	2012
129	307	2011
129	307	2012
130	306	2011
130	306	2012
131	304	2011
131	305	2012
132	303	2011
132	303	2012
133	302	2011
133	302	2012
134	301	2011
134	301	2012
135	299	2011
135	300	2012
136	298	2011
136	298	2012
137	297	2011
137	297	2012
138	296	2011
138	296	2012
139	295	2011
139	295	2012
140	294	2011
140	294	2012
141	293	2011
141	293	2012
142	292	2011
142	292	2012
143	291	2011
143	291	2012
144	290	2011
144	290	2012
145	289	2011
145	289	2012
146	288	2011
146	289	2012
147	288	2011
147	288	2012
148	287	2011
148	287	2012
149	286	2011
149	286	2012
150	285	2011
150	286	2012
151	285	2011
151	285	2012
152	284	2011
152	284	2012
153	284	2011
153	284	2012
154	283	2011
154	283	2012
155	282	2011
155	283	2012
156	282	2011
156	282	2012
157	282	2011
157	282	2012
158	281	2011
158	281	2012
159	281	2011
159	281	2012
160	281	2011
160	281	2012
161	280	2011
161	280	2012
162	280	2011
162	280	2012
163	280	2011
163	280	2012
164	280	2011
164	280	2012
165	280	2011
165	280	2012
166	280	2011
166	280	2012
167	280	2011
167	280	2012
168	280	2011
168	280	2012
169	280	2011
169	280	2012
170	280	2011
170	280	2012
171	280	2011
171	280	2012
172	280	2011
172	280	2012
173	280	2011
173	280	2012
174	280	2011
174	281	2012
175	281	2011
175	281	2012
176	281	2011
176	281	2012
177	282	2011
177	282	2012
178	282	2011
178	282	2012
179	283	2011
179	282	2012
180	283	2011
180	283	2012
181	284	2011
181	283	2012
182	284	2011
182	284	2012
183	285	2011
183	285	2012
184	285	2011
184	285	2012
185	286	2011
185	286	2012
186	287	2011
186	286	2012
187	287	2011
187	287	2012
188	288	2011
188	288	2012
189	289	2011
189	289	2012
190	290	2011
190	289	2012
191	290	2011
191	290	2012
192	291	2011
192	291	2012
193	292	2011
193	292	2012
194	293	2011
194	293	2012
195	294	2011
195	294	2012
196	295	2011
196	295	2012
197	296	2011
197	296	2012
198	297	2011
198	297	2012
199	298	2011
199	298	2012
200	299	2011
200	299	2012
201	300	2011
201	300	2012
202	301	2011
202	301	2012
203	302	2011
203	302	2012
204	303	2011
204	303	2012
205	304	2011
205	304	2012
206	305	2011
206	305	2012
207	306	2011
207	306	2012
208	307	2011
208	307	2012
209	309	2011
209	308	2012
210	310	2011
210	309	2012
211	311	2011
211	311	2012
212	312	2011
212	312	2012
213	313	2012
